¿Cuál de estas películas no fue dirigida por Christopher Nolan?;Memento;Insomnia;Transcendence;3
¿Cuál de estos no se encuentra en las semifinales masculinas del Australian Open?;Milos Raonic;Lucas Pouille;Stefanos Tsitsipas;1
¿Cuál de estas no es una especie de ave?;Casuario;Abubilla;Kinkajú;3
"¿Cuál de estos raperos pertenecía a la ""Costa Este""?";The Notorious B.I.G;Eazy-E;Tupac Shakur;1
¿Cuál de estas no es una hortaliza?;Habas;Maiz;Lechuga;2
¿Cuál de éstas ciudades perdió a su equipo de NBA en 2008?;Oklahoma;Milwaukee;Seattle;3
¿Cuál de estos animales no es mamifero?;Murciélago;Cocodrilo;Elefante;2
¿Cuál de estos filósofos murió de un ataque de risa según Diógenes Laercio?;Zenón de Tarso;Crisipo de Solos;Apolodoro de Atenas;2
¿Cuál de estos exponentes no pertenecía a la teoría del sistema de corriente alterna?;Alessandro Volta;William Stanley;George Westinghouse;1
¿Cuál de estas películas fue hecha en su totalidad en plano secuencia?;Sed de mal;El arca rusa;Buenos Muchachos;2
¿Cuál de estas no es una legumbre?;Sámara;Habas;Ejote;1
"¿Por cuál de estos mares no pasan los 5 viajeros de la película ""Yellow Submarine""?";Mar de las Cabezas;Mar de Agujeros;Mar del Norte;3
¿Cuál de estos escritores no pertenecía al grupo de Boedo?;Leónidas Barletta;Victoria Ocampo;César Tiempo;2
¿Cuál de estas carreras universitarias cursó Manuel Belgrano?;Abogacía;Medicina;No tenía títulos;1
¿Cuál de estos rinocerontes tiene un solo cuerno?;Indio;Negro;Blanco;1
¿Cuál de estos músicos no pertenece al periodo del romanticismo?;Antonio Soler;Richard Wagner;Franz Schubert;1
"¿Cuál de estos no es un personaje del manga ""Slam Dunk""?";Takenori Akagi;Hishashi Mitsui;Takeshi Sawada;3
¿Cuál de estas localidades se encuentra en la Costa Azul?;Montpellier;Lyon;Niza;3
¿Cuál de estas ciudades no pertenece a la Riviera Maya?;Playa del Carmen;Cancún;Tulum;2
¿Cuál de estas no es una de las islas Canarias?;La Gomera;Lanzarote;Santa Marina;3
¿Cuál de estas películas transcurre, en gran parte, en Bali?;Comer, rezar, amar;Quédate a mi lado;Un corazón normal;1
¿Cuál de estos géneros de música del caribe es proveniente de Cuba?;Guaracha;Kompa;Jarana Yucateca;1
¿Cuál de los siguientes es una de  las mayores atracciones turísticas de Kioto?;Parque Nara;Río Meguro;Bosque Arashiyama;3
¿Cuál de estas no es una capa del corazón?;Pericardio;Arocardio;Endocardio;2
"¿Cuál de ellos no participó del homenaje a Chris Cornell, ""l am the Highway""?";Eddie Vedder;Miley Cyrus;Adam Levine;1
"¿Cuál de estos países no integra el llamado ""cuerno de Africa""?";Kenia;Eritrea;Yibuti;1
¿Cuál de estas cartas no fue escrita por Epicuro de Samos?;Carta a Heródoto;Carta a Pitocles;Carta a Diógenes;3
¿Cuál de estos países no tiene salida al mar Mediterráneo?;Bulgaria;Líbano;Turquía;1
¿Cuál de estas tipografías es sans serif?;Courier;Arial;Times New Roman;2
¿Cuál de estos psicólogos fue discípulo de Sigmund Freud?;Jacques Lacan;Carl Gustav Jung;Albert Ellis;2
¿Cuál de los siguientes videojuegos tiene música compuesta por Gustavo Santaolalla?;Resident Evil 2;Uncharted 4;The Last of Us;3
¿Cuál de estas frutas no es de la estación invierno?;Pomelo;Damasco;Palta;2
"¿Cuál de estos álbumes de ""Double Trouble"" se lanzó primero?";Soul to Soul;In Step;Texas Flood;3
¿Cuál de estos pilotos de TC2000 tiene más títulos?;Norberto Fontana;Jorge Omar del Río;José María López;2
